"","name","F1_rxnormId","F2_rxcui","F2_name","F2_synonym","F2_tty","F3_status","F3_rxcui","F3_ndc","F3_startDate","F3_endDate"
"79","liraglutide",475968,897122,"3 ML liraglutide 6 MG/ML Pen Injector","liraglutide 18 MG per 3 ML Pen Injector","SCD","direct",897122,"70748034601",202512,202603
"80","liraglutide",475968,897122,"3 ML liraglutide 6 MG/ML Pen Injector","liraglutide 18 MG per 3 ML Pen Injector","SCD","direct",897122,"70748034602",202510,202603
"81","liraglutide",475968,897122,"3 ML liraglutide 6 MG/ML Pen Injector","liraglutide 18 MG per 3 ML Pen Injector","SCD","direct",897122,"70748034603",202510,202603
"82","liraglutide",475968,897122,"3 ML liraglutide 6 MG/ML Pen Injector","liraglutide 18 MG per 3 ML Pen Injector","SCD","direct",897122,"71288056383",202505,202603
"83","liraglutide",475968,897122,"3 ML liraglutide 6 MG/ML Pen Injector","liraglutide 18 MG per 3 ML Pen Injector","SCD","direct",897122,"71288056384",202505,202603
"84","liraglutide",475968,897122,"3 ML liraglutide 6 MG/ML Pen Injector","liraglutide 18 MG per 3 ML Pen Injector","SCD","direct",897122,"71288056385",202505,202603
"85","lixisenatide",1440051,1859000,"3 ML insulin glargine 100 UNT/ML / lixisenatide 0.033 MG/ML Pen Injector [Soliqua]","Soliqua 100/33 per 3 ML Pen Injector","SBD","direct",1859000,"00024576101",202001,202603
"86","lixisenatide",1440051,1859000,"3 ML insulin glargine 100 UNT/ML / lixisenatide 0.033 MG/ML Pen Injector [Soliqua]","Soliqua 100/33 per 3 ML Pen Injector","SBD","direct",1859000,"00024576102",202005,202603
"87","lixisenatide",1440051,1859000,"3 ML insulin glargine 100 UNT/ML / lixisenatide 0.033 MG/ML Pen Injector [Soliqua]","Soliqua 100/33 per 3 ML Pen Injector","SBD","direct",1859000,"00024576105",201612,202603
"88","lixisenatide",1440051,1859000,"3 ML insulin glargine 100 UNT/ML / lixisenatide 0.033 MG/ML Pen Injector [Soliqua]","Soliqua 100/33 per 3 ML Pen Injector","SBD","direct",1859000,"00024576302",201702,202603
"89","semaglutide",1991302,1991311,"0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic]","OZEMPIC 2 MG per 1.5 ML Pen Injector, 0.25 or 0.5 MG Dose","SBD","direct",1991311,"00169413211",201801,202603
"90","semaglutide",1991302,1991311,"0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic]","OZEMPIC 2 MG per 1.5 ML Pen Injector, 0.25 or 0.5 MG Dose","SBD","direct",1991311,"00169413212",201801,202603
"91","semaglutide",1991302,1991311,"0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic]","OZEMPIC 2 MG per 1.5 ML Pen Injector, 0.25 or 0.5 MG Dose","SBD","direct",1991311,"00169413290",201801,202510
"92","semaglutide",1991302,1991311,"0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic]","OZEMPIC 2 MG per 1.5 ML Pen Injector, 0.25 or 0.5 MG Dose","SBD","direct",1991311,"00169413297",201801,202510
"93","semaglutide",1991302,1991311,"0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic]","OZEMPIC 2 MG per 1.5 ML Pen Injector, 0.25 or 0.5 MG Dose","SBD","direct",1991311,"50090513800",202010,202307
"94","semaglutide",1991302,1991311,"0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic]","OZEMPIC 2 MG per 1.5 ML Pen Injector, 0.25 or 0.5 MG Dose","SBD","direct",1991311,"70518214300",201907,202208
"95","semaglutide",1991302,2200650,"semaglutide 14 MG Oral Tablet [Rybelsus]","Rybelsus 14 MG Oral Tablet","SBD","direct",2200650,"00169431401",201910,202603
"96","semaglutide",1991302,2200650,"semaglutide 14 MG Oral Tablet [Rybelsus]","Rybelsus 14 MG Oral Tablet","SBD","direct",2200650,"00169431413",201910,202603
"97","semaglutide",1991302,2200650,"semaglutide 14 MG Oral Tablet [Rybelsus]","Rybelsus 14 MG Oral Tablet","SBD","direct",2200650,"00169431430",202106,202603
"98","semaglutide",1991302,2200654,"semaglutide 3 MG Oral Tablet [Rybelsus]","Rybelsus 3 MG Oral Tablet","SBD","direct",2200654,"00169430301",201910,202603
"99","semaglutide",1991302,2200654,"semaglutide 3 MG Oral Tablet [Rybelsus]","Rybelsus 3 MG Oral Tablet","SBD","direct",2200654,"00169430313",201910,202603
"100","semaglutide",1991302,2200654,"semaglutide 3 MG Oral Tablet [Rybelsus]","Rybelsus 3 MG Oral Tablet","SBD","direct",2200654,"00169430330",202106,202603
"101","semaglutide",1991302,2200654,"semaglutide 3 MG Oral Tablet [Rybelsus]","Rybelsus 3 MG Oral Tablet","SBD","direct",2200654,"00169430390",201910,202603
"102","semaglutide",1991302,2200654,"semaglutide 3 MG Oral Tablet [Rybelsus]","Rybelsus 3 MG Oral Tablet","SBD","direct",2200654,"00169430393",201910,202603
"103","semaglutide",1991302,2200654,"semaglutide 3 MG Oral Tablet [Rybelsus]","Rybelsus 3 MG Oral Tablet","SBD","direct",2200654,"00169430399",202106,202603
"104","semaglutide",1991302,2200658,"semaglutide 7 MG Oral Tablet [Rybelsus]","Rybelsus 7 MG Oral Tablet","SBD","direct",2200658,"00169430701",201910,202603
"105","semaglutide",1991302,2200658,"semaglutide 7 MG Oral Tablet [Rybelsus]","Rybelsus 7 MG Oral Tablet","SBD","direct",2200658,"00169430713",201910,202603
"106","semaglutide",1991302,2200658,"semaglutide 7 MG Oral Tablet [Rybelsus]","Rybelsus 7 MG Oral Tablet","SBD","direct",2200658,"00169430730",202106,202603
"107","semaglutide",1991302,2398842,"3 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic]","3 ML Ozempic 1.34 MG/ML Pen Injector","SBD","direct",2398842,"00169413001",202011,202603
"108","semaglutide",1991302,2398842,"3 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic]","3 ML Ozempic 1.34 MG/ML Pen Injector","SBD","direct",2398842,"00169413013",202011,202603
"109","semaglutide",1991302,2398842,"3 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic]","3 ML Ozempic 1.34 MG/ML Pen Injector","SBD","direct",2398842,"50090594900",202206,202603
"110","semaglutide",1991302,2553506,"0.5 ML semaglutide 0.5 MG/ML Auto-Injector [Wegovy]","Wegovy 0.25 MG per 0.5 ML Auto-Injector","SBD","direct",2553506,"00169452501",202107,202603
"111","semaglutide",1991302,2553506,"0.5 ML semaglutide 0.5 MG/ML Auto-Injector [Wegovy]","Wegovy 0.25 MG per 0.5 ML Auto-Injector","SBD","direct",2553506,"00169452514",202107,202603
"112","semaglutide",1991302,2553506,"0.5 ML semaglutide 0.5 MG/ML Auto-Injector [Wegovy]","Wegovy 0.25 MG per 0.5 ML Auto-Injector","SBD","direct",2553506,"00169452590",202107,202603
"113","semaglutide",1991302,2553506,"0.5 ML semaglutide 0.5 MG/ML Auto-Injector [Wegovy]","Wegovy 0.25 MG per 0.5 ML Auto-Injector","SBD","direct",2553506,"00169452594",202107,202603
"114","semaglutide",1991302,2553506,"0.5 ML semaglutide 0.5 MG/ML Auto-Injector [Wegovy]","Wegovy 0.25 MG per 0.5 ML Auto-Injector","SBD","direct",2553506,"50090582400",202112,202603
"115","semaglutide",1991302,2553603,"0.5 ML semaglutide 1 MG/ML Auto-Injector [Wegovy]","Wegovy 0.5 MG per 0.5 ML Auto-Injector","SBD","direct",2553603,"00169450501",202107,202603
"116","semaglutide",1991302,2553603,"0.5 ML semaglutide 1 MG/ML Auto-Injector [Wegovy]","Wegovy 0.5 MG per 0.5 ML Auto-Injector","SBD","direct",2553603,"00169450514",202107,202603
"117","semaglutide",1991302,2553803,"0.5 ML semaglutide 2 MG/ML Auto-Injector [Wegovy]","Wegovy 1 MG per 0.5 ML Auto-Injector","SBD","direct",2553803,"00169450101",202107,202603
"118","semaglutide",1991302,2553803,"0.5 ML semaglutide 2 MG/ML Auto-Injector [Wegovy]","Wegovy 1 MG per 0.5 ML Auto-Injector","SBD","direct",2553803,"00169450114",202107,202603
"119","semaglutide",1991302,2553903,"0.75 ML semaglutide 2.27 MG/ML Auto-Injector [Wegovy]","Wegovy 1.7 MG per 0.75 ML Auto-Injector","SBD","direct",2553903,"00169451701",202107,202603
"120","semaglutide",1991302,2553903,"0.75 ML semaglutide 2.27 MG/ML Auto-Injector [Wegovy]","Wegovy 1.7 MG per 0.75 ML Auto-Injector","SBD","direct",2553903,"00169451714",202107,202603
"121","semaglutide",1991302,2554104,"0.75 ML semaglutide 3.2 MG/ML Auto-Injector [Wegovy]","Wegovy 2.4 MG per 0.75 ML Auto-Injector","SBD","direct",2554104,"00169452401",202107,202603
"122","semaglutide",1991302,2554104,"0.75 ML semaglutide 3.2 MG/ML Auto-Injector [Wegovy]","Wegovy 2.4 MG per 0.75 ML Auto-Injector","SBD","direct",2554104,"00169452414",202107,202603
"123","semaglutide",1991302,2599365,"3 ML semaglutide 2.68 MG/ML Pen Injector [Ozempic]","Ozempic 8 MG per 3 ML Pen Injector","SBD","direct",2599365,"00169477211",202205,202603
"124","semaglutide",1991302,2599365,"3 ML semaglutide 2.68 MG/ML Pen Injector [Ozempic]","Ozempic 8 MG per 3 ML Pen Injector","SBD","direct",2599365,"00169477212",202205,202603
"125","semaglutide",1991302,2599365,"3 ML semaglutide 2.68 MG/ML Pen Injector [Ozempic]","Ozempic 8 MG per 3 ML Pen Injector","SBD","direct",2599365,"00169477290",202207,202603
"126","semaglutide",1991302,2599365,"3 ML semaglutide 2.68 MG/ML Pen Injector [Ozempic]","Ozempic 8 MG per 3 ML Pen Injector","SBD","direct",2599365,"00169477297",202207,202603
"127","semaglutide",1991302,2599365,"3 ML semaglutide 2.68 MG/ML Pen Injector [Ozempic]","Ozempic 8 MG per 3 ML Pen Injector","SBD","direct",2599365,"50090605100",202209,202603
"128","semaglutide",1991302,2619154,"0.25 MG, 0.5 MG Dose 3 ML semaglutide 0.68 MG/ML Pen Injector [Ozempic]","0.25 MG, 0.5 MG Dose 3 ML Ozempic 0.68 MG/ML Pen Injector","SBD","direct",2619154,"00169418103",202211,202603
"129","semaglutide",1991302,2619154,"0.25 MG, 0.5 MG Dose 3 ML semaglutide 0.68 MG/ML Pen Injector [Ozempic]","0.25 MG, 0.5 MG Dose 3 ML Ozempic 0.68 MG/ML Pen Injector","SBD","direct",2619154,"00169418113",202211,202603
"130","semaglutide",1991302,2619154,"0.25 MG, 0.5 MG Dose 3 ML semaglutide 0.68 MG/ML Pen Injector [Ozempic]","0.25 MG, 0.5 MG Dose 3 ML Ozempic 0.68 MG/ML Pen Injector","SBD","direct",2619154,"00169418190",202211,202603
"131","semaglutide",1991302,2619154,"0.25 MG, 0.5 MG Dose 3 ML semaglutide 0.68 MG/ML Pen Injector [Ozempic]","0.25 MG, 0.5 MG Dose 3 ML Ozempic 0.68 MG/ML Pen Injector","SBD","direct",2619154,"00169418197",202211,202603
"132","semaglutide",1991302,2707549,"semaglutide 1.5 MG Oral Tablet [Rybelsus]","Rybelsus 1.5 MG Oral Tablet","SBD","direct",2707549,"00169481530",202504,202603
"133","semaglutide",1991302,2707549,"semaglutide 1.5 MG Oral Tablet [Rybelsus]","Rybelsus 1.5 MG Oral Tablet","SBD","direct",2707549,"00169481590",202504,202603
"134","semaglutide",1991302,2707553,"semaglutide 4 MG Oral Tablet [Rybelsus]","Rybelsus 4 MG Oral Tablet","SBD","direct",2707553,"00169480430",202504,202603
