name,F1_rxnormId,F2_rxcui,F2_name,F2_synonym,F2_tty,F3_status,F3_rxcui,F3_ndc,F3_startDate,F3_endDate,Brand Name
semaglutide,1991302,2553506,0.5 ML semaglutide 0.5 MG/ML Auto-Injector [Wegovy],Wegovy 0.25 MG per 0.5 ML Auto-Injector,SBD,direct,2553506,50090582400,202112,202503,Wegovy
semaglutide,1991302,2553603,0.5 ML semaglutide 1 MG/ML Auto-Injector [Wegovy],Wegovy 0.5 MG per 0.5 ML Auto-Injector,SBD,direct,2553603,169450501,202107,202503,Wegovy
semaglutide,1991302,2553603,0.5 ML semaglutide 1 MG/ML Auto-Injector [Wegovy],Wegovy 0.5 MG per 0.5 ML Auto-Injector,SBD,direct,2553603,169450514,202107,202503,Wegovy
semaglutide,1991302,2553803,0.5 ML semaglutide 2 MG/ML Auto-Injector [Wegovy],Wegovy 1 MG per 0.5 ML Auto-Injector,SBD,direct,2553803,169450101,202107,202503,Wegovy
semaglutide,1991302,2553803,0.5 ML semaglutide 2 MG/ML Auto-Injector [Wegovy],Wegovy 1 MG per 0.5 ML Auto-Injector,SBD,direct,2553803,169450114,202107,202503,Wegovy
semaglutide,1991302,2553903,0.75 ML semaglutide 2.27 MG/ML Auto-Injector [Wegovy],Wegovy 1.7 MG per 0.75 ML Auto-Injector,SBD,direct,2553903,169451701,202107,202503,Wegovy
semaglutide,1991302,2553903,0.75 ML semaglutide 2.27 MG/ML Auto-Injector [Wegovy],Wegovy 1.7 MG per 0.75 ML Auto-Injector,SBD,direct,2553903,169451714,202107,202503,Wegovy
semaglutide,1991302,2554104,0.75 ML semaglutide 3.2 MG/ML Auto-Injector [Wegovy],Wegovy 2.4 per 0.75 ML Auto-Injector,SBD,direct,2554104,169452401,202107,202503,Wegovy
semaglutide,1991302,2554104,0.75 ML semaglutide 3.2 MG/ML Auto-Injector [Wegovy],Wegovy 2.4 per 0.75 ML Auto-Injector,SBD,direct,2554104,169452414,202107,202503,Wegovy
semaglutide,1991302,2599365,3 ML semaglutide 2.68 MG/ML Pen Injector [Ozempic],Ozempic 8 MG per 3 ML Pen Injector,SBD,direct,2599365,169477211,202205,202503,Ozempic
semaglutide,1991302,2599365,3 ML semaglutide 2.68 MG/ML Pen Injector [Ozempic],Ozempic 8 MG per 3 ML Pen Injector,SBD,direct,2599365,169477212,202205,202503,Ozempic
semaglutide,1991302,2599365,3 ML semaglutide 2.68 MG/ML Pen Injector [Ozempic],Ozempic 8 MG per 3 ML Pen Injector,SBD,direct,2599365,169477290,202207,202503,Ozempic
semaglutide,1991302,2599365,3 ML semaglutide 2.68 MG/ML Pen Injector [Ozempic],Ozempic 8 MG per 3 ML Pen Injector,SBD,direct,2599365,169477297,202207,202503,Ozempic
semaglutide,1991302,2599365,3 ML semaglutide 2.68 MG/ML Pen Injector [Ozempic],Ozempic 8 MG per 3 ML Pen Injector,SBD,direct,2599365,50090605100,202209,202503,Ozempic
semaglutide,1991302,2619154,"0.25 MG, 0.5 MG Dose 3 ML semaglutide 0.68 MG/ML Pen Injector [Ozempic]","0.25 MG, 0.5 MG Dose 3 ML Ozempic 0.68 MG/ML Pen Injector",SBD,direct,2619154,169418103,202211,202503,Ozempic
semaglutide,1991302,2619154,"0.25 MG, 0.5 MG Dose 3 ML semaglutide 0.68 MG/ML Pen Injector [Ozempic]","0.25 MG, 0.5 MG Dose 3 ML Ozempic 0.68 MG/ML Pen Injector",SBD,direct,2619154,169418113,202211,202503,Ozempic
semaglutide,1991302,2619154,"0.25 MG, 0.5 MG Dose 3 ML semaglutide 0.68 MG/ML Pen Injector [Ozempic]","0.25 MG, 0.5 MG Dose 3 ML Ozempic 0.68 MG/ML Pen Injector",SBD,direct,2619154,169418190,202211,202503,Ozempic
semaglutide,1991302,2619154,"0.25 MG, 0.5 MG Dose 3 ML semaglutide 0.68 MG/ML Pen Injector [Ozempic]","0.25 MG, 0.5 MG Dose 3 ML Ozempic 0.68 MG/ML Pen Injector",SBD,direct,2619154,169418197,202211,202503,Ozempic
liraglutide,475968,1598268,3 ML liraglutide 6 MG/ML Pen Injector [Saxenda],3 ML Saxenda 6 MG/ML Pen Injector,SBD,direct,1598268,169280013,201502,201610,Saxenda
liraglutide,475968,1598268,3 ML liraglutide 6 MG/ML Pen Injector [Saxenda],3 ML Saxenda 6 MG/ML Pen Injector,SBD,direct,1598268,169280015,201502,202503,Saxenda
liraglutide,475968,1598268,3 ML liraglutide 6 MG/ML Pen Injector [Saxenda],3 ML Saxenda 6 MG/ML Pen Injector,SBD,direct,1598268,169280090,201502,202503,Saxenda
liraglutide,475968,1598268,3 ML liraglutide 6 MG/ML Pen Injector [Saxenda],3 ML Saxenda 6 MG/ML Pen Injector,SBD,direct,1598268,169280097,201505,202503,Saxenda
liraglutide,475968,1598268,3 ML liraglutide 6 MG/ML Pen Injector [Saxenda],3 ML Saxenda 6 MG/ML Pen Injector,SBD,direct,1598268,50090425700,202007,202503,Saxenda
liraglutide,475968,1860172,3 ML insulin degludec 100 UNT/ML / liraglutide 3.6 MG/ML Pen Injector [Xultophy],Xultophy (insulin degludec 100 UNT / liraglutide 3.6 MG/ML) per 3 ML Pen Injector,SBD,direct,1860172,169291115,201701,202503,Xultophy
